brand, product_name, shipping
AMD,AMD Radeon Vega Frontier Edition DirectX 12 100-506061 16GB 2048-Bit HBM2 Video Card (Air Cooled Model),Free Shipping
EVGA,EVGA GeForce GTX 1060 SC GAMING| ACX 2.0 (Single Fan)| 03G-P4-6162-KR| 3GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 Ti DirectX 12 11G-P4-6694-KR 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 Ti DirectX 12 11G-P4-6796-K4 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 Ti DirectX 12 11G-P4-6796-K3 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card with RGB Lighting,$4.99 Shipping
MSI,MSI GeForce GTX 1080 Ti DirectX 12 GeForce GTX 1080 Ti GAMING X 11G 11GB 352-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Mini| ZT-P10700G-10M| 8GB GDDR5,$4.99 Shipping
PowerColor,PowerColor Radeon RX 560 DirectX 12 AXRX 560 4GBD5-AM 4GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Mining Video Card - OEM,$3.99 Shipping
EVGA,EVGA GeForce GTX 1070 FTW GAMING ACX 3.0| 08G-P4-6276-KR| 8GB GDDR5| RGB LED| 10CM FAN| 10 Power Phases| Double BIOS| DX12 OSD Support (PXOC),$4.99 Shipping
AMD,AMD Radeon Vega Frontier Edition DirectX 12.1 100-5056062 16GB 2048-Bit HBM2 Video Card (Liquid Cooled Model),$3.99 Shipping
ASUS,ASUS GeForce GTX 1050 Ti DUAL-GTX1050TI-O4G 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
PNY Technologies, Inc.,PNY VCGGTX780T3XPB-CC-OC G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card XLR8 Enthusiast Edition,$4.99 Shipping
MSI,MSI GeForce GTX 1080 DirectX 12 GTX 1080 SEA HAWK EK X 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$4.99 Shipping
PNY Technologies, Inc.,PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0| 04G-P4-6255-KR| 4GB GDDR5| DX12 OSD Support (PXOC),$3.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 G1 Gaming GV-N1080G1 GAMING-8GD Video Card,$4.99 Shipping
